PhysicalObject,UndesirableEvent,Helper,Original,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5
steering cylinder bearings,excess play,,steering cylinder bearings have excess play,steering cylinder bearings exhibit excess play,steering cylinder bearings have excess play,excess play in steering cylinder bearings,bearings in steering cylinder excess play,steering cylinder bearings show excess play
blade skin,cracked,,blade skin cracked,blade skin is cracked,crack in blade skin,blade skin cracking,cracks in blade skin,cracked blade skin
jacking cylinder ends,unserviceable,,cabin jacking cylinder ends unserviceable,jacking cylinder ends are unserviceable,ends of jacking cylinder are unservicerable,unserviceable jacking cylinder ends,jacking cylinder ends unserviceable,jacking cylinder ends is unserviceable
blade liner,crack,,crack in blade liner left hand side,blade liner crack,blade liner has crack,crack in blade liner,crack on blade liner,blade liner cracking
park brake indicator light,going on and off,,park brake indicator light going on and off,park brake indicator light keeps going on and off,park brake indicator light intermittently on and off,indicator light for park brake going on and off,indicator light for park brake keeps going on and off,park brake indicator light goes on and off
air horn,stuck on,,air horn stuck on,air horn stuck on,air horn is stuck on,air horn remains stuck on,air horn continuously stuck on,air horn only stuck on
fire suppression mounts,cracks,,cracks in fire suppression mounts,fire supression mounts visible cracks,fire supression mounts cracking,cracks in fire supression mounts,cracks on fire supression mounts,cracking in fire supression mounts
cabin window,needs,resealing,cabin window needs resealing,cabin window needs resealing,cabin window needs to be resealed,resealing needed for cabin window,need reseal cabin window,cabin window need resealing
air horn,working intermittently,,air horn working intermittently,air horn is working intermittently,air horn intermittently working,air horn operating intermittently,air horn working in intermittent manner,air horn only working intermittently
hydraulic hose,leaking,,change out leaking hydraulic hose,hydraulic hose is leaking,hydraulic hose has a leak,leaking hydraulic hose,replace leacking hydraulic hose,change out leaking hydraulic hose
glass window,crack,,glass window has large crack,glass window is cracked,crack in glass window,crack found in glass window,cracked glass window,large crack in glass window
relay valve,leaking,,change out leaking relay valve,relay valve is leaking,relay valve has a leak,leaking relay valve,replace leaking relay valve,leaking relay valve needs change out
rock deflector,crack,,crack onside rock deflector,rock deflector has a crack,rock deflector is cracked,crack found in rock deflector,rock deflector crack on side,cracking rock deflector
beacon mount,broken,,beacon mount is broken,beacon mount has broken,broken beacon mount,beacon mount in broken state,beacon mount found broken,replace broken beacon mount
fuse,keep blowing,,front lights keep blowing fuse,fuse keeps blowing,blowing fuse,keep blowing fuse,fuse is blowing,replace keep blowing fuse
bolt,popped,,carousel popped bolt needs Loctite,bolt has popped,bolt popped,bolt is popped,popped bolt,replace popped bolt
chain guide,unserviceable,,left hand chain guide unserviceable,chain guide unserviceable,chain guide is unserviceable,chain guide found unserviceable,unserviceable chain guide,replace unserviceable chain guide
sight glasses,unserviceable,,radiator sight glasses unserviceable,sight glasses unserviceable,sight glasses are unserviceable,sight glasses found unserviceable,unserviceable sight glasses,replace unserviceable sight glasses
lock,broken,,differential lock broken,lock is broken,broken lock,lock found broken,lock broken,replace broken lock
roller,unserviceable,,right hand bobbin roller unserviceable,roller unserviceable,roller is unserviceable,roller found unserviceable,unserviceable roller,replace unserviceable roller
grease pump,bypassing,air,grease pump is bypassing air,grease pump bypassing air,grease pump is bypassing air,grease pump found bypassing air,grease pump bypass air,air bypassing in grease pump
isolator,needs,clean out,main isolator needs clean out,isolator needs clean out,isolator needs cleaning out,clean out needed isolator,need clean out isolator,clean out main isolator needed
air conditioner pressure switch,unserviceable,,air conditioner pressure switch unserviceable,air conditioner pressure switch unserviceable,air conditioner pressure switch is unserviceable,air conditioner pressure switch found unserviceable,unserviceable air conditioner pressure switch,replace unserviceable air conditioner pressure switch
scoreboard base,cracked,,repair left hand scoreboard base cracked,scoreboard base cracked,scoreboard base is cracked,scoreboard base cracking,cracked scoreboard base,repair cracked scoreboard base
lighting,requires,testing,all lighting requires testing,lighting requires testing,lighting needs testing,testing required for lighting,lighting needs to be tested,lighting requires to be tested
engine mount,movement,,movement found right hand engine mount,engine mount has movement,engine mount movement,engine mount movement found,movement found engine mount,movement in engine mount
stick,cracks,,repair cracks on stick,stick has cracks,stick is cracked,cracks in stick,repair cracked stick,repair cracks on stick
glass,cracked,,replace cracked glass in entry door,glass is cracked,glass has crack,cracked glass,crack in glass,replace cracked glass
cross member,crack,,repair crack in right hand side of rear cross member,cross member has crack,cross member crack,crack in cross member,repair cracked cross member,repair crack in cross member
transmission screen,unserviceable,,replace unserviceable transmission screen,unserviceable transmission screen,transmission screen unserviceable,transmission screen is unserviceable,replace unserviceable transmission screen, transmission screen unserviceable replace
tracks,need,adjusting,the tracks need some adjusting,tracks need adjusting,tracks need to be adjusted,adjusting needed tracks,need adjusting tracks,adjust tracks needed